mti,processingCode,transactionAmount,dateTimeTransaction,cardholderBillingConversionRate,stan,timeLocalTransaction,dateLocalTransaction,expiryDate,conversionDate,merchantCategoryCode,posEntryMode,acquiringInstitutionCode,forwardingInstitutionCode,rrn,cardAcceptorTerminalId,cardAcceptorId,cardAcceptorNameLocation,cardBalance,additionalData48,transactionCurrencyCode,cardholderBillingCurrencyCode,posDataCode,originalDataElement,channel,encryptedPan,network,dcc,kitNo,factorOfAuthorization,authenticationScore,contactless,international,preValidated,enhancedLimitWhiteListing,transactionOrigin,transactionType,isExternalAuth,encryptedHexCardNo,isTokenized,entityId,moneySendTxn,mcRefundTxn,mpqrtxn,authorisationStatus,latitude,longitude
35,49,41,1915-10-23 01:52:11.007800,79,34,23,70,88,9,12,2,63,60,20,73,77,71,22,16,95,89,82,25,49,16,30,40,54,66,21,25,70,48,28,13,3,82,78,51,68,2,65,90,62,88.3959024984756,27.600905327957747
27,72,1,1982-05-10 14:04:21.001956,75,44,13,12,40,8,78,12,67,96,0,22,41,94,75,68,36,33,6,20,29,41,18,50,38,9,90,24,40,63,4,74,26,89,82,23,26,50,85,44,49,15.13241797604826,124.55277883661836
83,58,10,2033-04-21 22:14:29.003929,58,65,77,90,22,63,58,3,100,17,6,83,4,91,6,27,7,8,31,44,84,0,85,43,2,50,94,0,94,15,39,89,58,65,4,49,70,88,73,59,72,63.993125790100976,-147.8459654037498
14,85,20,1940-11-26 11:17:13.005810,45,98,28,100,48,28,79,7,57,58,84,85,23,17,83,61,73,11,19,69,75,62,60,23,27,59,91,31,99,28,24,36,53,88,61,19,34,23,89,49,40,36.749545967348595,135.58283015154854
46,93,30,2066-11-17 17:06:21.006134,51,71,91,12,51,16,53,37,31,75,25,44,60,55,56,43,17,83,10,47,3,100,50,44,47,68,66,23,64,3,91,45,14,28,2,26,85,36,25,91,34,-57.75186579271728,-86.70330536288992
70,32,1,2030-03-09 06:57:57.003225,86,0,34,59,44,86,51,37,77,96,84,8,81,98,38,45,86,57,65,64,16,94,46,52,71,81,8,2,98,100,12,21,56,50,61,75,46,4,19,52,59,-58.946868960532065,143.96220300550908
82,68,91,2000-01-02 21:02:00.002523,15,6,85,63,66,19,46,88,37,65,58,63,89,41,42,28,63,2,41,21,29,5,34,18,47,94,84,17,44,97,32,54,62,49,7,97,91,23,45,95,88,28.112705945339087,-16.647930083444038
51,94,71,1969-07-28 10:09:46.007418,58,2,99,59,37,34,3,93,63,10,88,88,68,10,14,31,4,74,47,15,4,41,51,46,100,57,49,87,1,92,69,82,97,22,14,95,70,97,14,78,66,80.01577173317435,169.68141556572476
34,15,39,1985-09-08 00:08:17.009330,56,70,57,8,77,22,8,33,57,8,100,67,87,3,34,67,92,86,53,3,86,43,85,85,38,90,10,78,59,3,30,38,33,71,42,38,56,25,5,1,97,23.591883436832035,65.71450673074457
48,36,15,1960-11-10 09:42:42.000602,7,49,28,50,48,11,8,34,60,33,20,73,60,53,21,100,88,88,46,39,88,89,81,37,44,80,96,90,98,14,21,87,88,85,55,40,43,69,49,21,48,-14.415288783852844,-128.87608443887933
